antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'duration=very_long', 'temp=cold', 'is_weekend=False'})","frozenset({'util=low', 'time=afternoon', 'site=jpl'})",0.21800722917959764,0.15327321187337983,0.10347219686735551,0.474627365600402,3.0966100324986683,1.0,0.07005752863938257,1.6116689996506373,0.8658215776004895,0.3863667348329925,0.3795252001392527,0.5748553693175902
"frozenset({'util=low', 'time=afternoon', 'site=jpl'})","frozenset({'duration=very_long', 'temp=cold', 'is_weekend=False'})",0.15327321187337983,0.21800722917959764,0.10347219686735551,0.6750833730347784,3.096610032498668,1.0,0.07005752863938257,2.4067490116598598,0.7996277240760331,0.3863667348329925,0.5845017510528314,0.5748553693175902
"frozenset({'util=low', 'site=jpl'})","frozenset({'is_weekend=False', 'duration=very_long', 'temp=cold', 'energy=medium'})",0.26156486180583444,0.06761838694366351,0.054766512103399174,0.20938023450586266,3.096498511274877,1.0,0.03707991806694639,1.1793047097343916,0.9168775278121136,0.19957424161788187,0.1520427318354181,0.509657719844724
"frozenset({'is_weekend=False', 'duration=very_long', 'temp=cold', 'energy=medium'})","frozenset({'util=low', 'site=jpl'})",0.06761838694366351,0.26156486180583444,0.054766512103399174,0.8099352051835853,3.096498511274877,1.0,0.03707991806694639,3.8851757839079393,0.7261560872459568,0.19957424161788187,0.7426113886167228,0.509657719844724
"frozenset({'duration=very_long', 'temp=cold'})","frozenset({'util=low', 'time=afternoon', 'site=jpl'})",0.21968673555076856,0.15327321187337983,0.1039103289641827,0.47299318597307627,3.0859481587938506,1.0,0.07023823740033858,1.6066714235754882,0.866255281241611,0.3862125118740671,0.3775952037694186,0.575467531528701
"frozenset({'util=low', 'time=afternoon', 'site=jpl'})","frozenset({'duration=very_long', 'temp=cold'})",0.15327321187337983,0.21968673555076856,0.1039103289641827,0.6779418770843259,3.0859481587938506,1.0,0.07023823740033858,2.4228957723061195,0.7983100284893153,0.3862125118740671,0.5872707313991484,0.575467531528701
"frozenset({'wind=low', 'time=afternoon', 'is_weekend=False', 'util=low', 'site=jpl'})","frozenset({'duration=very_long', 'temp=cold'})",0.10712329767424879,0.21968673555076856,0.07210924093614225,0.6731424676209953,3.0641015532111417,1.0,0.0485756733686533,2.3873192053118304,0.7544603391918507,0.28311353211009177,0.5811201125618304,0.5006895652048802
"frozenset({'duration=very_long', 'temp=cold'})","frozenset({'wind=low', 'time=afternoon', 'is_weekend=False', 'util=low', 'site=jpl'})",0.21968673555076856,0.10712329767424879,0.07210924093614225,0.3282366627887652,3.0641015532111417,1.0,0.0485756733686533,1.3291536659807137,0.8632943849399547,0.28311353211009177,0.2476415439428129,0.5006895652048802
"frozenset({'duration=very_long', 'temp=cold', 'is_weekend=False'})","frozenset({'site=jpl', 'wind=low', 'time=afternoon', 'util=low'})",0.21800722917959764,0.10832816094052357,0.07210924093614225,0.33076536593535427,3.0533645458724026,1.0,0.048492918727377196,1.3323755132693027,0.8599726953904855,0.2836421082866581,0.24946083889949303,0.4982104551281086
"frozenset({'site=jpl', 'wind=low', 'time=afternoon', 'util=low'})","frozenset({'duration=very_long', 'temp=cold', 'is_weekend=False'})",0.10832816094052357,0.21800722917959764,0.07210924093614225,0.6656555443208628,3.053364545872402,1.0,0.048492918727377196,2.338883619984006,0.7541927438323405,0.2836421082866581,0.5724455926512332,0.4982104551281086
